8955;DS;33940
2668;BI;875
8053;DS;28077
4672;DS;2712
1669;CS;39607
6402;DS;39793
6150;CS;48917
2168;BI;28987
5640;DS;20353
4824;BI;133
5760;BI;39349
4747;BI;23924
9287;CS;6022
7035;CS;17448
5125;CS;37417
4604;DS;49092
7011;CS;6956
6147;BI;7922
7171;BI;41137
4537;BI;8847
7805;CS;15294
6371;BI;246
3105;BI;2547
8029;DS;46516
3300;BI;30327
5950;DS;46049
6959;CS;385
1755;BI;19279
2222;BI;44552
5846;CS;6449
80;DS;40048
6340;CS;7161
6257;CS;31764
3282;BI;41895
8563;CS;26924
1534;CS;37360
1033;CS;24229
6098;BI;18527
1803;DS;38539
7674;CS;7262
632;BI;18429
268;BI;38360
4504;CS;32827
6574;DS;692
4677;DS;37263
324;DS;42714
1574;DS;11882
8979;BI;16159
9742;CS;45893
4390;DS;31790
6985;DS;44727
3596;BI;36029
2858;CS;1392
637;DS;11711
7048;DS;14029
4037;DS;18009
338;BI;47611
1265;CS;43831
2192;DS;27125
1835;CS;22829
3242;BI;24779
5241;BI;49690
3681;CS;31480
1329;DS;47766
9792;DS;36825
2104;CS;40888
9254;BI;31324
2838;DS;42340
2393;BI;28449
5601;CS;5098
2674;DS;17471
4622;CS;25444
421;CS;14830
8746;BI;25194
3941;DS;28834
5287;DS;3122
4329;DS;38103
8321;CS;38924
8842;CS;19740
610;DS;33538
761;BI;8461
1682;DS;42023
6651;DS;34550
4907;DS;32701
3861;BI;2358
8901;DS;10681
1355;DS;39607
9607;BI;35300
8662;CS;12920
1615;DS;14617
4615;CS;27913
7519;DS;43832
9290;BI;4938
9960;BI;16410
6810;BI;16725
7834;CS;38197
3290;BI;8975
9437;BI;47142
4;BI;40985
1213;BI;11117
343;BI;26504
5479;CS;40663
6651;BI;32832
7693;CS;26507
8228;CS;15956
6487;DS;43099
1073;BI;47345
3767;CS;49628
9534;DS;36255
1662;CS;38681
5357;CS;8333
5713;DS;10261
6960;CS;16223
1779;BI;23044
6944;BI;6605
